model_name,train_split,eval_cell,method,device,setup_ms,setup_ms_std,inference_ms,inference_ms_std,solve_ms,solve_ms_std,iters,iters_std,total_ms,total_ms_std,n_frames
g4096_combo_no_closed_low_d128_L3_hw_sai,g4096_train_combo_no_closed_low,g4096_eval_id,cg,gpu,0.0000,0.0000,,,43.6600,18.2650,1179.7500,494.5150,43.6600,18.2650,20
g4096_combo_no_closed_low_d128_L3_hw_sai,g4096_train_combo_no_closed_low,g4096_eval_id,cg,cpu,0.0000,0.0000,,,406.0830,146.1955,501.6000,184.4381,406.0830,146.1955,20
g4096_combo_no_closed_low_d128_L3_hw_sai,g4096_train_combo_no_closed_low,g4096_eval_id,jacobi,gpu,0.0000,0.0000,,,28.5730,7.5281,757.5000,200.3438,28.5730,7.5281,20
g4096_combo_no_closed_low_d128_L3_hw_sai,g4096_train_combo_no_closed_low,g4096_eval_id,jacobi,cpu,0.0000,0.0000,,,283.4285,65.5104,355.0000,83.8482,283.4285,65.5104,20
g4096_combo_no_closed_low_d128_L3_hw_sai,g4096_train_combo_no_closed_low,g4096_eval_id,ic_amgx,gpu,8.3145,11.6590,,,292.5000,79.1359,23.8500,6.3683,300.8165,78.1895,20
g4096_combo_no_closed_low_d128_L3_hw_sai,g4096_train_combo_no_closed_low,g4096_eval_id,ic,cpu,4.2525,1.8765,,,92.2650,21.5268,107.5500,26.0636,96.5175,21.3799,20
g4096_combo_no_closed_low_d128_L3_hw_sai,g4096_train_combo_no_closed_low,g4096_eval_id,leafonly,gpu,,,2.1825,0.0159,10.9665,2.6500,142.0500,34.5946,13.1475,2.6489,20
g4096_combo_no_closed_low_d128_L3_hw_sai,g4096_train_combo_no_closed_low,g4096_eval_id,amg_cpu,cpu,10.6650,7.3672,,,6.3960,9.6090,3.3000,5.8947,17.0605,11.0811,20
g4096_combo_no_closed_low_d128_L3_hw_sai,g4096_train_combo_no_closed_low,g4096_eval_id,amgx_gpu,gpu,14.7885,9.8188,,,106.9340,33.3480,1.6000,0.5026,121.7215,32.1781,20
g4096_combo_no_closed_low_d128_L3_hw_sai,g4096_train_combo_no_closed_low,g4096_eval_closed_only,cg,gpu,0.0000,0.0000,,,56.2605,100.0537,1508.2500,2699.8907,56.2605,100.0537,20
g4096_combo_no_closed_low_d128_L3_hw_sai,g4096_train_combo_no_closed_low,g4096_eval_closed_only,cg,cpu,0.0000,0.0000,,,499.8885,211.6935,607.5000,261.0056,499.8885,211.6935,20
g4096_combo_no_closed_low_d128_L3_hw_sai,g4096_train_combo_no_closed_low,g4096_eval_closed_only,jacobi,gpu,0.0000,0.0000,,,24.8200,8.2411,661.9500,217.3495,24.8200,8.2411,20
g4096_combo_no_closed_low_d128_L3_hw_sai,g4096_train_combo_no_closed_low,g4096_eval_closed_only,jacobi,cpu,0.0000,0.0000,,,342.8485,82.8469,413.8500,100.0012,342.8485,82.8469,20
