model_name,train_split,eval_cell,method,device,setup_ms,setup_ms_std,inference_ms,inference_ms_std,solve_ms,solve_ms_std,iters,iters_std,total_ms,total_ms_std,n_frames
g4096_combo_no_closed_low_d128_L3_hw,g4096_train_combo_no_closed_low,g4096_eval_id,cg,gpu,0.0000,0.0000,,,44.0275,18.4447,1179.7500,494.5150,44.0275,18.4447,20
g4096_combo_no_closed_low_d128_L3_hw,g4096_train_combo_no_closed_low,g4096_eval_id,cg,cpu,0.0000,0.0000,,,419.2420,156.7635,501.6000,184.4381,419.2420,156.7635,20
g4096_combo_no_closed_low_d128_L3_hw,g4096_train_combo_no_closed_low,g4096_eval_id,jacobi,gpu,0.0000,0.0000,,,28.2715,7.4226,757.5000,200.3438,28.2715,7.4226,20
g4096_combo_no_closed_low_d128_L3_hw,g4096_train_combo_no_closed_low,g4096_eval_id,jacobi,cpu,0.0000,0.0000,,,297.1765,72.0689,355.0000,83.8482,297.1765,72.0689,20
g4096_combo_no_closed_low_d128_L3_hw,g4096_train_combo_no_closed_low,g4096_eval_id,ic_amgx,gpu,6.1295,0.1990,,,292.6895,78.5986,23.8500,6.3683,298.8200,78.5603,20
g4096_combo_no_closed_low_d128_L3_hw,g4096_train_combo_no_closed_low,g4096_eval_id,ic,cpu,4.0940,0.2554,,,97.2575,23.7310,107.5500,26.0636,101.3520,23.6680,20
g4096_combo_no_closed_low_d128_L3_hw,g4096_train_combo_no_closed_low,g4096_eval_id,leafonly,gpu,,,2.2035,0.0461,7.2825,2.2374,94.8000,29.3035,9.4860,2.2418,20
g4096_combo_no_closed_low_d128_L3_hw,g4096_train_combo_no_closed_low,g4096_eval_id,amg_cpu,cpu,10.1895,0.9756,,,7.1555,10.9023,3.3000,5.8947,17.3445,10.8017,20
g4096_combo_no_closed_low_d128_L3_hw,g4096_train_combo_no_closed_low,g4096_eval_id,amgx_gpu,gpu,13.6475,0.2351,,,107.0790,33.5271,1.6000,0.5026,120.7265,33.4140,20
g4096_combo_no_closed_low_d128_L3_hw,g4096_train_combo_no_closed_low,g4096_eval_closed_only,cg,gpu,0.0000,0.0000,,,56.3855,100.5016,1508.2500,2699.8907,56.3855,100.5016,20
g4096_combo_no_closed_low_d128_L3_hw,g4096_train_combo_no_closed_low,g4096_eval_closed_only,cg,cpu,0.0000,0.0000,,,508.9175,214.6615,607.5000,261.0056,508.9175,214.6615,20
g4096_combo_no_closed_low_d128_L3_hw,g4096_train_combo_no_closed_low,g4096_eval_closed_only,jacobi,gpu,0.0000,0.0000,,,24.7370,8.1184,661.9500,217.3495,24.7370,8.1184,20
g4096_combo_no_closed_low_d128_L3_hw,g4096_train_combo_no_closed_low,g4096_eval_closed_only,jacobi,cpu,0.0000,0.0000,,,346.7975,82.4647,413.8500,100.0012,346.7975,82.4647,20
g4096_combo_no_closed_low_d128_L3_hw,g4096_train_combo_no_closed_low,g4096_eval_closed_only,ic_amgx,gpu,6.1430,0.1857,,,247.7110,9.8354,20.1500,0.8127,253.8530,9.8714,20
