Key,Solve Time (ms),Precond Time (ms),#Iteration,Matrix Size
PCG-none-cpu,229.1453,0.0024,1427.0,16384
PCG-none-cpu,298.4753,0.0016,1738.0,16384
PCG-none-cpu,254.4346,0.0016,1527.0,16384
PCG-none-cpu,216.2997,0.0014,1333.0,16384
PCG-none-cuda,157.8728,0.4528,1427.0,16384
PCG-none-cuda,185.3354,0.1168,1733.0,16384
PCG-none-cuda,163.2602,0.1187,1528.0,16384
PCG-none-cuda,141.4292,0.1059,1333.0,16384
PCG-diagonal-cpu,164.9029,0.1276,993.0,16384
PCG-diagonal-cpu,318.892,0.085,1930.0,16384
PCG-diagonal-cpu,172.666,0.0778,1082.0,16384
PCG-diagonal-cpu,142.4633,0.0817,929.0,16384
PCG-diagonal-cuda,107.2579,0.4975,993.0,16384
PCG-diagonal-cuda,224.6849,0.183,2013.0,16384
PCG-diagonal-cuda,209.2132,0.1311,1862.0,16384
PCG-diagonal-cuda,99.4228,0.1159,929.0,16384
PCG-ainv-cpu,167.0539,15.8967,526.0,16384
PCG-ainv-cpu,182.6108,15.3112,606.0,16384
PCG-ainv-cpu,306.9646,13.658,998.0,16384
PCG-ainv-cpu,146.0992,12.6845,486.0,16384
PCG-ainv-cuda,64.756,15.5632,526.0,16384
PCG-ainv-cuda,74.3139,13.7065,605.0,16384
PCG-ainv-cuda,128.0673,13.2093,997.0,16384
PCG-ainv-cuda,59.5332,12.6892,486.0,16384
PCG-ic-cpu,180.3516,3.3399,343.0,16384
PCG-ic-cpu,402.5635,3.3881,787.0,16384
PCG-ic-cpu,166.367,3.4077,325.0,16384
PCG-ic-cpu,159.7407,3.3268,298.0,16384
PCG-ic-cuda,246.9062,25.6667,301.0,16384
PCG-ic-cuda,264.9558,3.0849,323.0,16384
PCG-ic-cuda,277.8434,2.985,338.0,16384
PCG-ic-cuda,228.1897,2.9575,278.0,16384
Neural,186.9569,25.6667,488.0,16384
Neural,199.032,3.0849,559.0,16384
Neural,174.9219,2.985,477.0,16384
Neural,163.2434,2.9575,455.0,16384
Neural+CUDA,60.1823,25.6667,488.0,16384
Neural+CUDA,78.8161,3.0849,559.0,16384
Neural+CUDA,58.7188,2.985,477.0,16384
Neural+CUDA,56.1105,2.9575,455.0,16384
