Key,Total Time (ms),Solve Time (ms),Precond Time (ms),#Iteration
PCG-none-cpu,249.5905,249.5887,0.0018,1506.25
PCG-none-cuda,162.1729,161.9744,0.1985,1505.25
PCG-diagonal-cpu,199.8241,199.731,0.093,1233.5
PCG-diagonal-cuda,160.3766,160.1447,0.2319,1449.25
PCG-ainv-cpu,215.0697,200.6821,14.3876,654.0
PCG-ainv-cuda,95.4597,81.6676,13.792,653.5
PCG-ic-cpu,230.6213,227.2557,3.3656,438.25
PCG-ic-cuda,263.1473,254.4738,8.6735,310.0
Neural,189.7121,181.0386,8.6735,494.75
Neural+CUDA,72.1305,63.4569,8.6735,494.75
