scale,exp_name,method,total_time_ms,solve_time_ms,precond_time_ms,iterations,checkpoint,elapsed_sec,infer_csv,all_infer_csv,infer_log,status
1024,multiphase_v2_1024,PCG-none-cpu,3.1554,3.1539,0.0014,486.25,/orcd/home/002/osbo/ondemand/LearningSparsePreconditioner4GPU/mlruns/354726727684490092/0bc7f29fbbda4c5e90bf79bd8a05de6e/checkpoints/multiphase_v2_1024-simple-epoch=499.ckpt,9,/home/osbo/ondemand/fluid-sim/Assets/Scripts/results/lsp_scale_infer_raw/infer_sweep_multiphase_v2_1024_6.csv,/home/osbo/ondemand/fluid-sim/Assets/Scripts/results/lsp_scale_infer_raw/all_infer_sweep_multiphase_v2_1024_6.csv,/home/osbo/ondemand/fluid-sim/Assets/Scripts/results/lsp_scale_infer_logs/multiphase_v2_1024.log,ok
1024,multiphase_v2_1024,PCG-none-cuda,37.6727,37.5148,0.1579,358.25,/orcd/home/002/osbo/ondemand/LearningSparsePreconditioner4GPU/mlruns/354726727684490092/0bc7f29fbbda4c5e90bf79bd8a05de6e/checkpoints/multiphase_v2_1024-simple-epoch=499.ckpt,9,/home/osbo/ondemand/fluid-sim/Assets/Scripts/results/lsp_scale_infer_raw/infer_sweep_multiphase_v2_1024_6.csv,/home/osbo/ondemand/fluid-sim/Assets/Scripts/results/lsp_scale_infer_raw/all_infer_sweep_multiphase_v2_1024_6.csv,/home/osbo/ondemand/fluid-sim/Assets/Scripts/results/lsp_scale_infer_logs/multiphase_v2_1024.log,ok
1024,multiphase_v2_1024,PCG-diagonal-cpu,1.8072,1.7975,0.0097,256.5,/orcd/home/002/osbo/ondemand/LearningSparsePreconditioner4GPU/mlruns/354726727684490092/0bc7f29fbbda4c5e90bf79bd8a05de6e/checkpoints/multiphase_v2_1024-simple-epoch=499.ckpt,9,/home/osbo/ondemand/fluid-sim/Assets/Scripts/results/lsp_scale_infer_raw/infer_sweep_multiphase_v2_1024_6.csv,/home/osbo/ondemand/fluid-sim/Assets/Scripts/results/lsp_scale_infer_raw/all_infer_sweep_multiphase_v2_1024_6.csv,/home/osbo/ondemand/fluid-sim/Assets/Scripts/results/lsp_scale_infer_logs/multiphase_v2_1024.log,ok
1024,multiphase_v2_1024,PCG-diagonal-cuda,30.3708,30.1987,0.1722,300.75,/orcd/home/002/osbo/ondemand/LearningSparsePreconditioner4GPU/mlruns/354726727684490092/0bc7f29fbbda4c5e90bf79bd8a05de6e/checkpoints/multiphase_v2_1024-simple-epoch=499.ckpt,9,/home/osbo/ondemand/fluid-sim/Assets/Scripts/results/lsp_scale_infer_raw/infer_sweep_multiphase_v2_1024_6.csv,/home/osbo/ondemand/fluid-sim/Assets/Scripts/results/lsp_scale_infer_raw/all_infer_sweep_multiphase_v2_1024_6.csv,/home/osbo/ondemand/fluid-sim/Assets/Scripts/results/lsp_scale_infer_logs/multiphase_v2_1024.log,ok
1024,multiphase_v2_1024,PCG-ainv-cpu,3.4831,2.2629,1.2202,122.0,/orcd/home/002/osbo/ondemand/LearningSparsePreconditioner4GPU/mlruns/354726727684490092/0bc7f29fbbda4c5e90bf79bd8a05de6e/checkpoints/multiphase_v2_1024-simple-epoch=499.ckpt,9,/home/osbo/ondemand/fluid-sim/Assets/Scripts/results/lsp_scale_infer_raw/infer_sweep_multiphase_v2_1024_6.csv,/home/osbo/ondemand/fluid-sim/Assets/Scripts/results/lsp_scale_infer_raw/all_infer_sweep_multiphase_v2_1024_6.csv,/home/osbo/ondemand/fluid-sim/Assets/Scripts/results/lsp_scale_infer_logs/multiphase_v2_1024.log,ok
1024,multiphase_v2_1024,PCG-ainv-cuda,15.5095,14.2777,1.2318,123.5,/orcd/home/002/osbo/ondemand/LearningSparsePreconditioner4GPU/mlruns/354726727684490092/0bc7f29fbbda4c5e90bf79bd8a05de6e/checkpoints/multiphase_v2_1024-simple-epoch=499.ckpt,9,/home/osbo/ondemand/fluid-sim/Assets/Scripts/results/lsp_scale_infer_raw/infer_sweep_multiphase_v2_1024_6.csv,/home/osbo/ondemand/fluid-sim/Assets/Scripts/results/lsp_scale_infer_raw/all_infer_sweep_multiphase_v2_1024_6.csv,/home/osbo/ondemand/fluid-sim/Assets/Scripts/results/lsp_scale_infer_logs/multiphase_v2_1024.log,ok
1024,multiphase_v2_1024,PCG-ic-cpu,2.3379,2.1165,0.2213,92.0,/orcd/home/002/osbo/ondemand/LearningSparsePreconditioner4GPU/mlruns/354726727684490092/0bc7f29fbbda4c5e90bf79bd8a05de6e/checkpoints/multiphase_v2_1024-simple-epoch=499.ckpt,9,/home/osbo/ondemand/fluid-sim/Assets/Scripts/results/lsp_scale_infer_raw/infer_sweep_multiphase_v2_1024_6.csv,/home/osbo/ondemand/fluid-sim/Assets/Scripts/results/lsp_scale_infer_raw/all_infer_sweep_multiphase_v2_1024_6.csv,/home/osbo/ondemand/fluid-sim/Assets/Scripts/results/lsp_scale_infer_logs/multiphase_v2_1024.log,ok
1024,multiphase_v2_1024,PCG-ic-cuda,29.1105,21.3609,7.7496,76.0,/orcd/home/002/osbo/ondemand/LearningSparsePreconditioner4GPU/mlruns/354726727684490092/0bc7f29fbbda4c5e90bf79bd8a05de6e/checkpoints/multiphase_v2_1024-simple-epoch=499.ckpt,9,/home/osbo/ondemand/fluid-sim/Assets/Scripts/results/lsp_scale_infer_raw/infer_sweep_multiphase_v2_1024_6.csv,/home/osbo/ondemand/fluid-sim/Assets/Scripts/results/lsp_scale_infer_raw/all_infer_sweep_multiphase_v2_1024_6.csv,/home/osbo/ondemand/fluid-sim/Assets/Scripts/results/lsp_scale_infer_logs/multiphase_v2_1024.log,ok
1024,multiphase_v2_1024,Neural,10.2801,2.5304,7.7496,121.75,/orcd/home/002/osbo/ondemand/LearningSparsePreconditioner4GPU/mlruns/354726727684490092/0bc7f29fbbda4c5e90bf79bd8a05de6e/checkpoints/multiphase_v2_1024-simple-epoch=499.ckpt,9,/home/osbo/ondemand/fluid-sim/Assets/Scripts/results/lsp_scale_infer_raw/infer_sweep_multiphase_v2_1024_6.csv,/home/osbo/ondemand/fluid-sim/Assets/Scripts/results/lsp_scale_infer_raw/all_infer_sweep_multiphase_v2_1024_6.csv,/home/osbo/ondemand/fluid-sim/Assets/Scripts/results/lsp_scale_infer_logs/multiphase_v2_1024.log,ok
1024,multiphase_v2_1024,Neural+CUDA,22.131,14.3813,7.7496,121.75,/orcd/home/002/osbo/ondemand/LearningSparsePreconditioner4GPU/mlruns/354726727684490092/0bc7f29fbbda4c5e90bf79bd8a05de6e/checkpoints/multiphase_v2_1024-simple-epoch=499.ckpt,9,/home/osbo/ondemand/fluid-sim/Assets/Scripts/results/lsp_scale_infer_raw/infer_sweep_multiphase_v2_1024_6.csv,/home/osbo/ondemand/fluid-sim/Assets/Scripts/results/lsp_scale_infer_raw/all_infer_sweep_multiphase_v2_1024_6.csv,/home/osbo/ondemand/fluid-sim/Assets/Scripts/results/lsp_scale_infer_logs/multiphase_v2_1024.log,ok
