scale,exp_name,method,total_time_ms,total_time_ms_std,solve_time_ms,solve_time_ms_std,precond_time_ms,precond_time_ms_std,iterations,iterations_std,n_frames,checkpoint,elapsed_sec,infer_csv,all_infer_csv,infer_log,status
1024,multiphase_v2_1024,Neural,6.6540,16.2825,2.0143,0.1047,4.6396,16.2532,118.0000,6.2154,20,/orcd/home/002/osbo/ondemand/LearningSparsePreconditioner4GPU/mlruns/354726727684490092/0bc7f29fbbda4c5e90bf79bd8a05de6e/checkpoints/multiphase_v2_1024-simple-epoch=499.ckpt,14,/home/osbo/ondemand/fluid-sim/Assets/Scripts/results/lsp_scale_infer_raw/infer_sweep_multiphase_v2_1024_6.csv,/home/osbo/ondemand/fluid-sim/Assets/Scripts/results/lsp_scale_infer_raw/all_infer_sweep_multiphase_v2_1024_6.csv,/home/osbo/ondemand/fluid-sim/Assets/Scripts/results/lsp_scale_infer_logs/multiphase_v2_1024.log,ok
1024,multiphase_v2_1024,Neural+CUDA,18.4332,16.5317,13.7936,0.9535,4.6396,16.2532,118.0000,6.2154,20,/orcd/home/002/osbo/ondemand/LearningSparsePreconditioner4GPU/mlruns/354726727684490092/0bc7f29fbbda4c5e90bf79bd8a05de6e/checkpoints/multiphase_v2_1024-simple-epoch=499.ckpt,14,/home/osbo/ondemand/fluid-sim/Assets/Scripts/results/lsp_scale_infer_raw/infer_sweep_multiphase_v2_1024_6.csv,/home/osbo/ondemand/fluid-sim/Assets/Scripts/results/lsp_scale_infer_raw/all_infer_sweep_multiphase_v2_1024_6.csv,/home/osbo/ondemand/fluid-sim/Assets/Scripts/results/lsp_scale_infer_logs/multiphase_v2_1024.log,ok
1024,multiphase_v2_1024,PCG-ainv-cpu,3.5441,0.4891,2.3728,0.4727,1.1712,0.1087,127.7500,26.6969,20,/orcd/home/002/osbo/ondemand/LearningSparsePreconditioner4GPU/mlruns/354726727684490092/0bc7f29fbbda4c5e90bf79bd8a05de6e/checkpoints/multiphase_v2_1024-simple-epoch=499.ckpt,14,/home/osbo/ondemand/fluid-sim/Assets/Scripts/results/lsp_scale_infer_raw/infer_sweep_multiphase_v2_1024_6.csv,/home/osbo/ondemand/fluid-sim/Assets/Scripts/results/lsp_scale_infer_raw/all_infer_sweep_multiphase_v2_1024_6.csv,/home/osbo/ondemand/fluid-sim/Assets/Scripts/results/lsp_scale_infer_logs/multiphase_v2_1024.log,ok
1024,multiphase_v2_1024,PCG-ainv-cuda,16.1670,3.1708,14.9626,3.1684,1.2044,0.0981,128.3000,24.0156,20,/orcd/home/002/osbo/ondemand/LearningSparsePreconditioner4GPU/mlruns/354726727684490092/0bc7f29fbbda4c5e90bf79bd8a05de6e/checkpoints/multiphase_v2_1024-simple-epoch=499.ckpt,14,/home/osbo/ondemand/fluid-sim/Assets/Scripts/results/lsp_scale_infer_raw/infer_sweep_multiphase_v2_1024_6.csv,/home/osbo/ondemand/fluid-sim/Assets/Scripts/results/lsp_scale_infer_raw/all_infer_sweep_multiphase_v2_1024_6.csv,/home/osbo/ondemand/fluid-sim/Assets/Scripts/results/lsp_scale_infer_logs/multiphase_v2_1024.log,ok
1024,multiphase_v2_1024,PCG-diagonal-cpu,1.7952,0.4373,1.7860,0.4366,0.0092,0.0013,261.7000,66.8495,20,/orcd/home/002/osbo/ondemand/LearningSparsePreconditioner4GPU/mlruns/354726727684490092/0bc7f29fbbda4c5e90bf79bd8a05de6e/checkpoints/multiphase_v2_1024-simple-epoch=499.ckpt,14,/home/osbo/ondemand/fluid-sim/Assets/Scripts/results/lsp_scale_infer_raw/infer_sweep_multiphase_v2_1024_6.csv,/home/osbo/ondemand/fluid-sim/Assets/Scripts/results/lsp_scale_infer_raw/all_infer_sweep_multiphase_v2_1024_6.csv,/home/osbo/ondemand/fluid-sim/Assets/Scripts/results/lsp_scale_infer_logs/multiphase_v2_1024.log,ok
1024,multiphase_v2_1024,PCG-diagonal-cuda,27.0033,8.9617,26.8633,8.9783,0.1400,0.2497,269.1500,84.3060,20,/orcd/home/002/osbo/ondemand/LearningSparsePreconditioner4GPU/mlruns/354726727684490092/0bc7f29fbbda4c5e90bf79bd8a05de6e/checkpoints/multiphase_v2_1024-simple-epoch=499.ckpt,14,/home/osbo/ondemand/fluid-sim/Assets/Scripts/results/lsp_scale_infer_raw/infer_sweep_multiphase_v2_1024_6.csv,/home/osbo/ondemand/fluid-sim/Assets/Scripts/results/lsp_scale_infer_raw/all_infer_sweep_multiphase_v2_1024_6.csv,/home/osbo/ondemand/fluid-sim/Assets/Scripts/results/lsp_scale_infer_logs/multiphase_v2_1024.log,ok
1024,multiphase_v2_1024,PCG-ic-cpu,2.0573,0.2451,1.8274,0.2454,0.2299,0.0134,79.4000,11.5458,20,/orcd/home/002/osbo/ondemand/LearningSparsePreconditioner4GPU/mlruns/354726727684490092/0bc7f29fbbda4c5e90bf79bd8a05de6e/checkpoints/multiphase_v2_1024-simple-epoch=499.ckpt,14,/home/osbo/ondemand/fluid-sim/Assets/Scripts/results/lsp_scale_infer_raw/infer_sweep_multiphase_v2_1024_6.csv,/home/osbo/ondemand/fluid-sim/Assets/Scripts/results/lsp_scale_infer_raw/all_infer_sweep_multiphase_v2_1024_6.csv,/home/osbo/ondemand/fluid-sim/Assets/Scripts/results/lsp_scale_infer_logs/multiphase_v2_1024.log,ok
1024,multiphase_v2_1024,PCG-ic-cuda,25.0843,16.5948,20.4446,1.0188,4.6396,16.2532,73.2000,3.6935,20,/orcd/home/002/osbo/ondemand/LearningSparsePreconditioner4GPU/mlruns/354726727684490092/0bc7f29fbbda4c5e90bf79bd8a05de6e/checkpoints/multiphase_v2_1024-simple-epoch=499.ckpt,14,/home/osbo/ondemand/fluid-sim/Assets/Scripts/results/lsp_scale_infer_raw/infer_sweep_multiphase_v2_1024_6.csv,/home/osbo/ondemand/fluid-sim/Assets/Scripts/results/lsp_scale_infer_raw/all_infer_sweep_multiphase_v2_1024_6.csv,/home/osbo/ondemand/fluid-sim/Assets/Scripts/results/lsp_scale_infer_logs/multiphase_v2_1024.log,ok
1024,multiphase_v2_1024,PCG-none-cpu,2.7879,1.1703,2.7858,1.1699,0.0022,0.0009,410.8500,150.4909,20,/orcd/home/002/osbo/ondemand/LearningSparsePreconditioner4GPU/mlruns/354726727684490092/0bc7f29fbbda4c5e90bf79bd8a05de6e/checkpoints/multiphase_v2_1024-simple-epoch=499.ckpt,14,/home/osbo/ondemand/fluid-sim/Assets/Scripts/results/lsp_scale_infer_raw/infer_sweep_multiphase_v2_1024_6.csv,/home/osbo/ondemand/fluid-sim/Assets/Scripts/results/lsp_scale_infer_raw/all_infer_sweep_multiphase_v2_1024_6.csv,/home/osbo/ondemand/fluid-sim/Assets/Scripts/results/lsp_scale_infer_logs/multiphase_v2_1024.log,ok
1024,multiphase_v2_1024,PCG-none-cuda,36.5720,11.5919,35.9675,9.8299,0.6045,2.3041,348.4500,70.2922,20,/orcd/home/002/osbo/ondemand/LearningSparsePreconditioner4GPU/mlruns/354726727684490092/0bc7f29fbbda4c5e90bf79bd8a05de6e/checkpoints/multiphase_v2_1024-simple-epoch=499.ckpt,14,/home/osbo/ondemand/fluid-sim/Assets/Scripts/results/lsp_scale_infer_raw/infer_sweep_multiphase_v2_1024_6.csv,/home/osbo/ondemand/fluid-sim/Assets/Scripts/results/lsp_scale_infer_raw/all_infer_sweep_multiphase_v2_1024_6.csv,/home/osbo/ondemand/fluid-sim/Assets/Scripts/results/lsp_scale_infer_logs/multiphase_v2_1024.log,ok
