step,loss_avg,loss_std,elapsed_s,lr,pcg_iters,sai_loss
0,0.250754,0.000000,30.6897,2.000000e-04,669,9.657566
100,0.243298,0.001956,2.4139,2.000000e-04,,
200,0.242314,0.001878,1.2997,2.000000e-04,,
300,0.243072,0.002048,1.2594,2.000000e-04,,
400,0.241323,0.002252,1.2613,2.000000e-04,,
500,0.239042,0.001730,1.2489,2.000000e-04,,
600,0.238448,0.001563,1.2553,2.000000e-04,,
700,0.236473,0.001877,1.2510,2.000000e-04,,
800,0.234164,0.001749,1.2627,2.000000e-04,,
900,0.232433,0.002042,1.2690,2.000000e-04,,
1000,0.229732,0.002305,1.3068,2.000000e-04,,
1100,0.226512,0.002872,1.3008,2.000000e-04,,
1200,0.223037,0.004169,1.2989,2.000000e-04,,
1300,0.217005,0.003534,1.3150,2.000000e-04,,
1400,0.211255,0.003627,1.3079,2.000000e-04,,
1500,0.204356,0.003329,1.2977,2.000000e-04,,
1600,0.200697,0.003580,1.3061,2.000000e-04,,
1700,0.197010,0.003563,1.3037,2.000000e-04,,
1800,0.192442,0.003995,1.2935,2.000000e-04,,
1900,0.184735,0.004929,1.2930,2.000000e-04,,
2000,0.180169,0.005181,1.3058,2.000000e-04,351,4.823557
2100,0.173457,0.005890,1.3034,2.000000e-04,,
2200,0.164990,0.005148,1.3056,2.000000e-04,,
2300,0.154942,0.004934,1.2930,2.000000e-04,,
2400,0.145286,0.004831,1.2951,2.000000e-04,,
2500,0.139976,0.004889,1.2985,2.000000e-04,,
2600,0.137034,0.004955,1.3120,2.000000e-04,,
2700,0.134702,0.006933,1.3064,2.000000e-04,,
2800,0.129439,0.006369,1.2989,2.000000e-04,,
2900,0.122294,0.004989,1.2967,2.000000e-04,,
3000,0.120259,0.004820,1.2885,2.000000e-04,,
3100,0.120677,0.006428,1.2955,2.000000e-04,,
3200,0.114316,0.005093,1.2968,2.000000e-04,,
3300,0.111386,0.005637,1.3091,2.000000e-04,,
3400,0.113479,0.011079,1.3121,2.000000e-04,,
3500,0.107104,0.006071,1.3122,2.000000e-04,,
3600,0.106150,0.007671,1.3219,2.000000e-04,,
3700,0.099474,0.004475,1.2968,2.000000e-04,,
3800,0.100112,0.005696,1.3110,2.000000e-04,,
3900,0.096674,0.005149,1.3132,2.000000e-04,,
4000,0.097050,0.007781,1.3100,2.000000e-04,516,0.954826
4100,0.096646,0.005942,1.3095,2.000000e-04,,
4200,0.092593,0.004895,1.3007,2.000000e-04,,
4300,0.094113,0.007954,1.3038,2.000000e-04,,
4400,0.091983,0.006238,1.3021,2.000000e-04,,
4500,0.091751,0.006755,1.2975,2.000000e-04,,
4600,0.089810,0.005415,1.3114,2.000000e-04,,
4700,0.084891,0.005017,1.3058,2.000000e-04,,
4800,0.093340,0.013664,1.3087,2.000000e-04,,
4900,0.086583,0.005100,1.3097,2.000000e-04,,
5000,0.082011,0.004816,1.3097,2.000000e-04,,
5100,0.081366,0.006144,1.3112,2.000000e-04,,
5200,0.080866,0.004455,1.3025,2.000000e-04,,
5300,0.083861,0.008164,1.3047,2.000000e-04,,
5400,0.079117,0.006468,1.2956,2.000000e-04,,
5500,0.075495,0.004818,1.3035,2.000000e-04,,
5600,0.074634,0.004040,1.3078,2.000000e-04,,
5700,0.075744,0.006679,1.3079,2.000000e-04,,
5800,0.076136,0.006311,1.3065,2.000000e-04,,
5900,0.071744,0.004726,1.3262,2.000000e-04,,
6000,0.072599,0.004626,1.3007,2.000000e-04,123,0.248596
6100,0.074012,0.006076,1.3025,2.000000e-04,,
6200,0.073184,0.006568,1.3046,2.000000e-04,,
6300,0.070511,0.004574,1.3179,2.000000e-04,,
6400,0.073669,0.009933,1.3007,2.000000e-04,,
6500,0.070061,0.004807,1.3094,2.000000e-04,,
6600,0.069919,0.005562,1.2975,2.000000e-04,,
6700,0.070540,0.007131,1.3090,2.000000e-04,,
6800,0.067485,0.004773,1.2958,2.000000e-04,,
6900,0.066861,0.004659,1.2940,2.000000e-04,,
7000,0.069097,0.005614,1.3170,2.000000e-04,,
7100,0.066618,0.005727,1.3112,2.000000e-04,,
7200,0.064029,0.004601,1.3023,2.000000e-04,,
7300,0.066911,0.006196,1.3084,2.000000e-04,,
7400,0.064486,0.004980,1.2995,2.000000e-04,,
7500,0.063661,0.004223,1.3139,2.000000e-04,,
7600,0.063279,0.004025,1.3107,2.000000e-04,,
7700,0.063154,0.006188,1.3032,2.000000e-04,,
7800,0.063764,0.004797,1.3036,2.000000e-04,,
7900,0.063461,0.004978,1.3073,2.000000e-04,,
8000,0.065275,0.008376,1.3076,2.000000e-04,207,0.174705
8100,0.059745,0.003653,1.2983,2.000000e-04,,
8200,0.064113,0.006698,1.3298,2.000000e-04,,
8300,0.063350,0.007520,1.3108,2.000000e-04,,
8400,0.060033,0.004567,1.3194,2.000000e-04,,
8500,0.065391,0.013074,1.2967,2.000000e-04,,
8600,0.061662,0.005101,1.3145,2.000000e-04,,
8700,0.059182,0.003878,1.3046,2.000000e-04,,
8800,0.057675,0.003943,1.3046,2.000000e-04,,
8900,0.058897,0.004909,1.3090,2.000000e-04,,
9000,0.060116,0.004835,1.3115,2.000000e-04,,
9100,0.055812,0.004153,1.2976,2.000000e-04,,
9200,0.064680,0.008920,1.3118,2.000000e-04,,
9300,0.057589,0.004519,1.3057,2.000000e-04,,
9400,0.056825,0.004236,1.3047,2.000000e-04,,
9500,0.055868,0.003924,1.2902,2.000000e-04,,
9600,0.056578,0.004908,1.2796,2.000000e-04,,
9700,0.056671,0.004417,1.2824,1.000000e-04,,
9800,0.053577,0.004779,1.2868,1.000000e-04,,
9900,0.052387,0.003036,1.2908,1.000000e-04,,
10000,0.057730,0.007719,1.2813,1.000000e-04,111,0.154088
10100,0.053170,0.002853,1.2817,1.000000e-04,,
10200,0.051649,0.003581,1.2968,1.000000e-04,,
10300,0.056702,0.008116,1.2795,1.000000e-04,,
10400,0.051851,0.003982,1.2843,1.000000e-04,,
10500,0.051683,0.003809,1.3041,1.000000e-04,,
10600,0.050324,0.003055,1.2826,1.000000e-04,,
10700,0.050797,0.003248,1.2943,1.000000e-04,,
10800,0.050941,0.003765,1.2769,1.000000e-04,,
10900,0.050359,0.003348,1.2870,1.000000e-04,,
11000,0.050848,0.003696,1.2940,1.000000e-04,,
11100,0.052140,0.003708,1.2958,1.000000e-04,,
11200,0.049648,0.003193,1.2786,1.000000e-04,,
11300,0.049833,0.002935,1.2818,1.000000e-04,,
11400,0.050722,0.003316,1.2863,1.000000e-04,,
11500,0.050131,0.003176,1.2800,1.000000e-04,,
11600,0.051299,0.004369,1.2731,1.000000e-04,,
11700,0.048089,0.002803,1.2756,1.000000e-04,,
11800,0.048848,0.003224,1.2870,1.000000e-04,,
11900,0.049017,0.003285,1.2753,1.000000e-04,,
12000,0.049846,0.003576,1.2827,1.000000e-04,141,0.262159
12100,0.048863,0.003506,1.2814,1.000000e-04,,
12200,0.048113,0.003395,1.2842,1.000000e-04,,
12300,0.048337,0.003049,1.2738,5.000000e-05,,
12400,0.047858,0.003073,1.2747,5.000000e-05,,
12500,0.047208,0.002640,1.2738,5.000000e-05,,
12600,0.047752,0.002896,1.2804,5.000000e-05,,
12700,0.046725,0.003452,1.2829,5.000000e-05,,
12800,0.047135,0.003316,1.2947,5.000000e-05,,
12900,0.046569,0.003206,1.2764,5.000000e-05,,
13000,0.046147,0.002758,1.2927,5.000000e-05,,
