step,loss_avg,loss_std,elapsed_s,lr
0,0.240270,0.000000,25.6567,2.000000e-04
100,0.237470,0.001464,2.6588,2.000000e-04
200,0.236955,0.001425,1.8803,2.000000e-04
300,0.236882,0.001307,1.8978,2.000000e-04
400,0.236776,0.001444,1.6838,2.000000e-04
500,0.234431,0.001481,2.1555,2.000000e-04
600,0.231585,0.001336,1.8495,2.000000e-04
700,0.230522,0.001331,1.8656,2.000000e-04
800,0.229899,0.001542,1.8740,2.000000e-04
900,0.227878,0.001350,1.6414,2.000000e-04
1000,0.226356,0.001634,1.8077,2.000000e-04
1100,0.224645,0.002107,2.0864,2.000000e-04
1200,0.221737,0.001925,1.8584,2.000000e-04
1300,0.220708,0.002089,1.8463,2.000000e-04
1400,0.218521,0.003069,1.8762,2.000000e-04
1500,0.214954,0.002370,2.0757,2.000000e-04
1600,0.214379,0.004149,1.8520,2.000000e-04
1700,0.215593,0.003999,1.6413,2.000000e-04
1800,0.203246,0.004916,1.9011,2.000000e-04
1900,0.193421,0.003751,1.9554,2.000000e-04
2000,0.188590,0.003588,1.8205,2.000000e-04
2100,0.188636,0.006262,1.9630,2.000000e-04
2200,0.187821,0.005778,1.7079,2.000000e-04
2300,0.176961,0.003929,1.8649,2.000000e-04
2400,0.176235,0.004669,1.8715,2.000000e-04
2500,0.174537,0.007302,1.9434,2.000000e-04
2600,0.173321,0.004754,2.0471,2.000000e-04
2700,0.170675,0.005266,1.9604,2.000000e-04
2800,0.168727,0.007661,1.6340,2.000000e-04
2900,0.177391,0.014566,1.8157,2.000000e-04
3000,0.173609,0.007273,2.0922,2.000000e-04
3100,0.163469,0.004293,1.7880,2.000000e-04
3200,0.162462,0.004373,1.8715,2.000000e-04
3300,0.163899,0.008351,1.8681,2.000000e-04
3400,0.160926,0.005283,2.1073,2.000000e-04
3500,0.159597,0.005374,1.8783,2.000000e-04
3600,0.162494,0.010030,1.8749,2.000000e-04
3700,0.170051,0.013087,1.8665,2.000000e-04
3800,0.157309,0.007023,1.8694,2.000000e-04
3900,0.150106,0.004334,1.6927,2.000000e-04
4000,0.146853,0.004619,2.2584,2.000000e-04
4100,0.148396,0.007871,1.8375,2.000000e-04
4200,0.143236,0.005295,1.6397,2.000000e-04
4300,0.146228,0.006167,2.1252,2.000000e-04
4400,0.153359,0.015353,1.8950,2.000000e-04
4500,0.138894,0.004501,1.8253,2.000000e-04
4600,0.140607,0.007198,1.9064,2.000000e-04
4700,0.141721,0.007960,2.1669,2.000000e-04
4800,0.134927,0.004516,1.9037,2.000000e-04
4900,0.135333,0.006922,1.9544,2.000000e-04
5000,0.134803,0.009340,1.8468,2.000000e-04
5100,0.128591,0.004865,1.8806,2.000000e-04
5200,0.142020,0.016832,1.8202,2.000000e-04
5300,0.127429,0.005889,1.6896,2.000000e-04
5400,0.126248,0.006308,1.9564,2.000000e-04
5500,0.136210,0.012965,2.1714,2.000000e-04
5600,0.130398,0.009036,1.9090,2.000000e-04
5700,0.123352,0.005249,1.8127,2.000000e-04
5800,0.123745,0.005669,1.6374,2.000000e-04
5900,0.121573,0.006700,2.0655,2.000000e-04
6000,0.120923,0.005774,1.8727,2.000000e-04
6100,0.120184,0.004685,1.8663,2.000000e-04
6200,0.118174,0.005531,1.9076,2.000000e-04
6300,0.115146,0.004316,2.1905,2.000000e-04
6400,0.121108,0.013001,1.8240,2.000000e-04
6500,0.121183,0.007934,1.8071,2.000000e-04
6600,0.116267,0.005605,1.7096,2.000000e-04
6700,0.115599,0.006554,2.0802,2.000000e-04
6800,0.112647,0.004953,1.8148,2.000000e-04
6900,0.109635,0.004447,1.8174,2.000000e-04
7000,0.109670,0.004381,1.7079,2.000000e-04
7100,0.124792,0.013075,1.9861,2.000000e-04
7200,0.110858,0.004411,1.6279,2.000000e-04
7300,0.116455,0.010953,1.9761,2.000000e-04
7400,0.110385,0.006718,2.0604,2.000000e-04
7500,0.120521,0.012239,1.8757,1.000000e-04
7600,0.109118,0.006083,1.8340,1.000000e-04
7700,0.104984,0.004862,1.8502,1.000000e-04
7800,0.103977,0.003968,2.0778,1.000000e-04
7900,0.104173,0.004920,1.8415,1.000000e-04
8000,0.105029,0.004127,1.9714,1.000000e-04
8100,0.102844,0.004396,1.8474,1.000000e-04
8200,0.102017,0.004370,2.1013,1.000000e-04
8300,0.102291,0.005012,1.8783,1.000000e-04
8400,0.104828,0.005700,1.8854,1.000000e-04
8500,0.103135,0.004673,1.8394,1.000000e-04
8600,0.100141,0.004331,2.0929,1.000000e-04
8700,0.098617,0.003998,2.0103,1.000000e-04
8800,0.101441,0.005254,1.8160,1.000000e-04
8900,0.099865,0.004378,1.8791,1.000000e-04
9000,0.099791,0.004797,2.0639,1.000000e-04
9100,0.100419,0.005361,1.7552,1.000000e-04
9200,0.099573,0.004098,1.8411,1.000000e-04
9300,0.100112,0.005131,1.8204,5.000000e-05
9400,0.098828,0.004304,1.6265,5.000000e-05
9500,0.097235,0.004109,1.9125,5.000000e-05
