step,loss_avg,loss_std,elapsed_s,lr,pcg_iters,sai_loss
0,0.236963,0.000000,28.0713,2.000000e-04,927,9.750151
100,0.233406,0.001565,11.1188,2.000000e-04,,
200,0.232819,0.001077,1.5608,2.000000e-04,,
300,0.232594,0.000996,1.8496,2.000000e-04,,
400,0.231353,0.000977,1.6573,2.000000e-04,,
500,0.230767,0.000831,1.7247,2.000000e-04,,
600,0.230506,0.000864,1.7633,2.000000e-04,,
700,0.230039,0.000866,1.9957,2.000000e-04,,
800,0.229683,0.000866,1.9030,2.000000e-04,,
900,0.229218,0.000730,1.8903,2.000000e-04,,
1000,0.228757,0.000790,1.6395,2.000000e-04,,
1100,0.228517,0.000772,1.5621,2.000000e-04,,
1200,0.228560,0.000791,1.8304,2.000000e-04,,
1300,0.228403,0.000738,1.7609,2.000000e-04,,
1400,0.228339,0.000747,1.7190,2.000000e-04,,
1500,0.228029,0.000710,1.5402,2.000000e-04,,
1600,0.228025,0.001378,1.7265,1.000000e-04,,
1700,0.226404,0.000845,1.9238,1.000000e-04,,
1800,0.223653,0.001879,1.5961,1.000000e-04,,
1900,0.220275,0.001444,1.6952,1.000000e-04,,
2000,0.218593,0.001281,1.7377,1.000000e-04,594,8.162012
2100,0.217479,0.001404,1.7922,1.000000e-04,,
2200,0.215346,0.001191,1.6933,1.000000e-04,,
2300,0.214266,0.001299,1.8019,1.000000e-04,,
2400,0.213330,0.001391,1.4981,1.000000e-04,,
2500,0.211042,0.001494,2.0152,1.000000e-04,,
2600,0.209274,0.001249,1.7400,1.000000e-04,,
2700,0.208054,0.001218,1.7216,1.000000e-04,,
2800,0.206269,0.001249,1.5481,1.000000e-04,,
2900,0.204300,0.001072,1.7029,1.000000e-04,,
3000,0.202447,0.001269,1.7949,1.000000e-04,,
3100,0.200818,0.001036,1.7106,1.000000e-04,,
3200,0.199942,0.001119,1.6795,1.000000e-04,,
3300,0.198782,0.001026,1.5433,1.000000e-04,,
3400,0.197634,0.001193,1.9137,1.000000e-04,,
3500,0.196762,0.001263,1.7527,1.000000e-04,,
3600,0.195850,0.001213,1.7334,1.000000e-04,,
3700,0.194874,0.001461,1.6704,1.000000e-04,,
3800,0.193682,0.001291,1.6826,1.000000e-04,,
3900,0.194673,0.002052,1.5092,1.000000e-04,,
4000,0.192172,0.001388,1.7332,1.000000e-04,510,0.210028
4100,0.191664,0.001517,1.7381,1.000000e-04,,
4200,0.191111,0.001303,1.8356,1.000000e-04,,
4300,0.190356,0.001515,1.6291,1.000000e-04,,
