#options: 1920x1080 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=21 lookahead_threads=7 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=3 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=50 rc=cbr mbtree=1 bitrate=9650 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 vbv_maxrate=9650 vbv_bufsize=19300 nal_hrd=none filler=0 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:14.96 aq:0.97 tex:598121 mv:28667 misc:164 imb:8160 pmb:0 smb:0 d:- ref:;
in:4 out:1 type:P dur:2 cpbdur:2 q:12.64 aq:2.47 tex:57900 mv:307 misc:1473 imb:10 pmb:570 smb:7580 d:- ref:0 ;
in:2 out:2 type:B dur:2 cpbdur:2 q:14.92 aq:2.38 tex:488 mv:148 misc:788 imb:0 pmb:67 smb:8093 d:t ref:0 ;
in:1 out:3 type:b dur:2 cpbdur:2 q:14.92 aq:13.29 tex:770 mv:197 misc:833 imb:1 pmb:76 smb:8083 d:s ref:0 ;
in:3 out:4 type:b dur:2 cpbdur:2 q:14.92 aq:5.88 tex:633 mv:115 misc:564 imb:1 pmb:23 smb:8136 d:- ref:0 ;
in:8 out:5 type:P dur:2 cpbdur:2 q:11.44 aq:2.02 tex:47486 mv:266 misc:1480 imb:8 pmb:522 smb:7630 d:- ref:0 ;
in:6 out:6 type:B dur:2 cpbdur:2 q:12.96 aq:3.18 tex:400 mv:55 misc:529 imb:0 pmb:15 smb:8145 d:- ref:0 ;
in:5 out:7 type:b dur:2 cpbdur:2 q:13.28 aq:14.01 tex:572 mv:98 misc:538 imb:0 pmb:18 smb:8142 d:s ref:0 ;
in:7 out:8 type:b dur:2 cpbdur:2 q:13.27 aq:12.55 tex:329 mv:89 misc:526 imb:0 pmb:17 smb:8143 d:- ref:0 ;
in:12 out:9 type:P dur:2 cpbdur:2 q:10.94 aq:1.97 tex:34433 mv:246 misc:1497 imb:7 pmb:412 smb:7741 d:- ref:0 ;
in:10 out:10 type:B dur:2 cpbdur:2 q:11.74 aq:1.81 tex:332 mv:18 misc:498 imb:0 pmb:9 smb:8151 d:- ref:0 ;
in:9 out:11 type:b dur:2 cpbdur:2 q:12.03 aq:11.95 tex:121 mv:57 misc:470 imb:0 pmb:8 smb:8152 d:- ref:0 ;
in:11 out:12 type:b dur:2 cpbdur:2 q:12.03 aq:0.00 tex:30 mv:58 misc:472 imb:0 pmb:8 smb:8152 d:- ref:0 ;
in:16 out:13 type:P dur:2 cpbdur:2 q:10.41 aq:1.32 tex:28733 mv:226 misc:1513 imb:8 pmb:360 smb:7792 d:- ref:0 ;
in:14 out:14 type:B dur:2 cpbdur:2 q:11.21 aq:0.00 tex:160 mv:7 misc:481 imb:0 pmb:7 smb:8153 d:- ref:0 ;
in:13 out:15 type:b dur:2 cpbdur:2 q:11.21 aq:0.00 tex:27 mv:49 misc:460 imb:0 pmb:7 smb:8153 d:- ref:0 ;
in:15 out:16 type:b dur:2 cpbdur:2 q:11.21 aq:0.00 tex:27 mv:52 misc:465 imb:0 pmb:7 smb:8153 d:- ref:0 ;
in:20 out:17 type:P dur:2 cpbdur:2 q:10.10 aq:1.59 tex:24880 mv:223 misc:1449 imb:9 pmb:313 smb:7838 d:- ref:0 ;
in:18 out:18 type:B dur:2 cpbdur:2 q:10.40 aq:0.00 tex:160 mv:7 misc:481 imb:0 pmb:7 smb:8153 d:- ref:0 ;
in:17 out:19 type:b dur:2 cpbdur:2 q:10.41 aq:0.00 tex:27 mv:49 misc:460 imb:0 pmb:7 smb:8153 d:- ref:0 ;
in:19 out:20 type:b dur:2 cpbdur:2 q:10.40 aq:0.00 tex:27 mv:52 misc:465 imb:0 pmb:7 smb:8153 d:- ref:0 ;
in:24 out:21 type:P dur:2 cpbdur:2 q:8.42 aq:1.12 tex:55721 mv:283 misc:1420 imb:10 pmb:571 smb:7579 d:- ref:0 ;
in:22 out:22 type:B dur:2 cpbdur:2 q:10.09 aq:0.00 tex:160 mv:7 misc:481 imb:0 pmb:7 smb:8153 d:t ref:0 ;
in:21 out:23 type:b dur:2 cpbdur:2 q:10.09 aq:0.00 tex:27 mv:49 misc:460 imb:0 pmb:7 smb:8153 d:s ref:0 ;
in:23 out:24 type:b dur:2 cpbdur:2 q:10.08 aq:0.00 tex:27 mv:52 misc:465 imb:0 pmb:7 smb:8153 d:- ref:0 ;
in:28 out:25 type:P dur:2 cpbdur:2 q:5.90 aq:0.93 tex:70896 mv:283 misc:1317 imb:12 pmb:466 smb:7682 d:s ref:0 ;
in:26 out:26 type:B dur:2 cpbdur:2 q:8.71 aq:0.00 tex:205 mv:17 misc:490 imb:0 pmb:8 smb:8152 d:s ref:0 ;
in:25 out:27 type:b dur:2 cpbdur:2 q:8.72 aq:0.00 tex:28 mv:49 misc:459 imb:0 pmb:7 smb:8153 d:s ref:0 ;
in:27 out:28 type:b dur:2 cpbdur:2 q:8.70 aq:0.00 tex:29 mv:53 misc:462 imb:0 pmb:7 smb:8153 d:- ref:0 ;
in:32 out:29 type:P dur:2 cpbdur:2 q:2.10 aq:0.09 tex:77286 mv:240 misc:1378 imb:7 pmb:546 smb:7607 d:s ref:0 ;
in:30 out:30 type:B dur:2 cpbdur:2 q:6.14 aq:0.00 tex:193 mv:17 misc:486 imb:0 pmb:8 smb:8152 d:s ref:0 ;
in:29 out:31 type:b dur:2 cpbdur:2 q:6.43 aq:0.01 tex:214 mv:56 misc:490 imb:0 pmb:11 smb:8149 d:s ref:0 ;
in:31 out:32 type:b dur:2 cpbdur:2 q:6.40 aq:0.01 tex:213 mv:53 misc:494 imb:0 pmb:10 smb:8150 d:- ref:0 ;
in:36 out:33 type:P dur:2 cpbdur:2 q:1.05 aq:0.00 tex:20305 mv:231 misc:1536 imb:7 pmb:407 smb:7746 d:s ref:0 ;
in:34 out:34 type:B dur:2 cpbdur:2 q:2.37 aq:0.24 tex:321 mv:10 misc:509 imb:0 pmb:10 smb:8150 d:s ref:0 ;
in:33 out:35 type:b dur:2 cpbdur:2 q:2.63 aq:1.58 tex:323 mv:54 misc:503 imb:0 pmb:13 smb:8147 d:s ref:0 ;
in:35 out:36 type:b dur:2 cpbdur:2 q:2.63 aq:1.58 tex:324 mv:60 misc:504 imb:0 pmb:13 smb:8147 d:- ref:0 ;
in:40 out:37 type:P dur:2 cpbdur:2 q:1.00 aq:0.00 tex:11003 mv:208 misc:1477 imb:6 pmb:311 smb:7843 d:s ref:0 ;
in:38 out:38 type:B dur:2 cpbdur:2 q:1.05 aq:0.10 tex:365 mv:11 misc:512 imb:0 pmb:11 smb:8149 d:s ref:0 ;
in:37 out:39 type:b dur:2 cpbdur:2 q:1.05 aq:1.52 tex:438 mv:59 misc:527 imb:0 pmb:16 smb:8144 d:s ref:0 ;
in:39 out:40 type:b dur:2 cpbdur:2 q:1.05 aq:1.52 tex:438 mv:60 misc:526 imb:0 pmb:16 smb:8144 d:- ref:0 ;
in:44 out:41 type:P dur:2 cpbdur:2 q:0.25 aq:0.00 tex:10262 mv:209 misc:1457 imb:6 pmb:301 smb:7853 d:s ref:0 ;
in:42 out:42 type:B dur:2 cpbdur:2 q:1.00 aq:0.71 tex:345 mv:10 misc:501 imb:0 pmb:10 smb:8150 d:s ref:0 ;
