#options: 3840x2160 fps=60/1 timebase=1/60 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=21 lookahead_threads=7 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=3 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=50 rc=cbr mbtree=1 bitrate=105000 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 vbv_maxrate=105000 vbv_bufsize=210000 nal_hrd=none filler=0 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:13.59 aq:4.45 tex:13541076 mv:890775 misc:1429 imb:32400 pmb:0 smb:0 d:- ref:;
in:4 out:1 type:P dur:2 cpbdur:2 q:15.40 aq:6.31 tex:4770743 mv:77116 misc:14181 imb:5736 pmb:6283 smb:20381 d:- ref:0 ;
in:2 out:2 type:B dur:2 cpbdur:2 q:15.40 aq:9.05 tex:15312 mv:4040 misc:7200 imb:1 pmb:9320 smb:23079 d:s ref:0 ;
in:1 out:3 type:b dur:2 cpbdur:2 q:15.40 aq:10.82 tex:2398 mv:498 misc:3288 imb:0 pmb:329 smb:32071 d:s ref:0 ;
in:3 out:4 type:b dur:2 cpbdur:2 q:15.40 aq:9.97 tex:5791 mv:1310 misc:6771 imb:2 pmb:1411 smb:30987 d:- ref:0 ;
in:8 out:5 type:P dur:2 cpbdur:2 q:15.83 aq:7.11 tex:4168103 mv:70781 misc:10324 imb:5613 pmb:4546 smb:22241 d:- ref:0 ;
in:6 out:6 type:B dur:2 cpbdur:2 q:15.83 aq:9.04 tex:20020 mv:3121 misc:3315 imb:3 pmb:8222 smb:24175 d:s ref:0 ;
in:5 out:7 type:b dur:2 cpbdur:2 q:15.83 aq:11.30 tex:4623 mv:512 misc:4169 imb:0 pmb:516 smb:31884 d:s ref:0 ;
in:7 out:8 type:b dur:2 cpbdur:2 q:15.83 aq:11.43 tex:10602 mv:1286 misc:7304 imb:5 pmb:1454 smb:30941 d:- ref:0 ;
in:12 out:9 type:P dur:2 cpbdur:2 q:16.26 aq:7.60 tex:3517481 mv:62274 misc:9893 imb:6415 pmb:3937 smb:22048 d:- ref:0 ;
in:10 out:10 type:B dur:2 cpbdur:2 q:16.26 aq:10.10 tex:194163 mv:5032 misc:4285 imb:7 pmb:8675 smb:23718 d:s ref:0 ;
in:9 out:11 type:b dur:2 cpbdur:2 q:16.26 aq:12.21 tex:19256 mv:3413 misc:4283 imb:2 pmb:8710 smb:23688 d:s ref:0 ;
in:11 out:12 type:b dur:2 cpbdur:2 q:16.26 aq:9.49 tex:13714 mv:2195 misc:8115 imb:0 pmb:1801 smb:30599 d:- ref:0 ;
in:16 out:13 type:P dur:2 cpbdur:2 q:17.47 aq:8.32 tex:3303647 mv:70123 misc:10334 imb:5647 pmb:4478 smb:22275 d:- ref:0 ;
in:14 out:14 type:B dur:2 cpbdur:2 q:17.47 aq:10.40 tex:489686 mv:5101 misc:5101 imb:15 pmb:8484 smb:23901 d:s ref:0 ;
in:13 out:15 type:b dur:2 cpbdur:2 q:17.46 aq:12.56 tex:20532 mv:2529 misc:4955 imb:2 pmb:8488 smb:23910 d:s ref:0 ;
in:15 out:16 type:b dur:2 cpbdur:2 q:17.47 aq:11.61 tex:11355 mv:2205 misc:8672 imb:2 pmb:2082 smb:30316 d:- ref:0 ;
in:20 out:17 type:P dur:2 cpbdur:2 q:17.73 aq:8.12 tex:4148034 mv:73440 misc:8942 imb:5459 pmb:4461 smb:22480 d:- ref:0 ;
in:18 out:18 type:B dur:2 cpbdur:2 q:17.73 aq:11.35 tex:3653863 mv:146682 misc:4375 imb:3352 pmb:5107 smb:23941 d:s ref:0 ;
in:17 out:19 type:b dur:2 cpbdur:2 q:17.73 aq:11.58 tex:16438 mv:2723 misc:2855 imb:2 pmb:7945 smb:24453 d:s ref:0 ;
in:19 out:20 type:b dur:2 cpbdur:2 q:17.73 aq:11.94 tex:7493 mv:1110 misc:6485 imb:3 pmb:1381 smb:31016 d:- ref:0 ;
in:24 out:21 type:P dur:2 cpbdur:2 q:20.18 aq:11.03 tex:3412139 mv:68062 misc:6503 imb:5452 pmb:3725 smb:23223 d:- ref:0 ;
in:22 out:22 type:B dur:2 cpbdur:2 q:20.17 aq:11.03 tex:11641 mv:2302 misc:2561 imb:2 pmb:8114 smb:24284 d:s ref:0 ;
in:21 out:23 type:b dur:2 cpbdur:2 q:20.16 aq:10.93 tex:1754 mv:104 misc:3046 imb:1 pmb:299 smb:32100 d:s ref:0 ;
in:23 out:24 type:b dur:2 cpbdur:2 q:20.17 aq:11.15 tex:2116 mv:669 misc:3391 imb:0 pmb:725 smb:31675 d:- ref:0 ;
in:28 out:25 type:P dur:2 cpbdur:2 q:18.36 aq:10.01 tex:3202277 mv:67980 misc:9047 imb:5412 pmb:4623 smb:22365 d:s ref:0 ;
in:26 out:26 type:B dur:2 cpbdur:2 q:20.25 aq:8.59 tex:4702 mv:966 misc:4596 imb:1 pmb:940 smb:31459 d:s ref:0 ;
in:25 out:27 type:b dur:2 cpbdur:2 q:20.26 aq:11.03 tex:797 mv:63 misc:1924 imb:0 pmb:98 smb:32302 d:s ref:0 ;
in:27 out:28 type:b dur:2 cpbdur:2 q:20.25 aq:13.80 tex:3361 mv:797 misc:4146 imb:0 pmb:847 smb:31553 d:- ref:0 ;
in:32 out:29 type:P dur:2 cpbdur:2 q:16.79 aq:8.38 tex:5304955 mv:87373 misc:9512 imb:7252 pmb:5233 smb:19915 d:s ref:0 ;
in:30 out:30 type:B dur:2 cpbdur:2 q:18.37 aq:10.05 tex:21414 mv:1173 misc:6685 imb:0 pmb:1473 smb:30927 d:s ref:0 ;
in:29 out:31 type:b dur:2 cpbdur:2 q:18.39 aq:13.09 tex:4050 mv:834 misc:4332 imb:0 pmb:921 smb:31479 d:s ref:0 ;
in:31 out:32 type:b dur:2 cpbdur:2 q:18.38 aq:11.57 tex:1455 mv:289 misc:2496 imb:0 pmb:200 smb:32200 d:- ref:0 ;
in:36 out:33 type:P dur:2 cpbdur:2 q:16.34 aq:7.84 tex:3876938 mv:74610 misc:10700 imb:5385 pmb:5705 smb:21310 d:s ref:0 ;
in:34 out:34 type:B dur:2 cpbdur:2 q:16.99 aq:10.30 tex:187835 mv:1648 misc:11085 imb:4 pmb:3526 smb:28870 d:s ref:0 ;
in:33 out:35 type:b dur:2 cpbdur:2 q:17.02 aq:9.64 tex:3834 mv:746 misc:4988 imb:0 pmb:1022 smb:31378 d:s ref:0 ;
in:35 out:36 type:b dur:2 cpbdur:2 q:17.02 aq:10.17 tex:4409 mv:1060 misc:5331 imb:0 pmb:843 smb:31557 d:- ref:0 ;
in:40 out:37 type:P dur:2 cpbdur:2 q:15.86 aq:6.59 tex:4653920 mv:72045 misc:11731 imb:5534 pmb:4921 smb:21945 d:s ref:0 ;
in:38 out:38 type:B dur:2 cpbdur:2 q:16.46 aq:9.34 tex:4075907 mv:154707 misc:3698 imb:3260 pmb:4863 smb:24277 d:s ref:0 ;
in:37 out:39 type:b dur:2 cpbdur:2 q:16.47 aq:11.68 tex:7697 mv:937 misc:6270 imb:0 pmb:1272 smb:31128 d:s ref:0 ;
in:39 out:40 type:b dur:2 cpbdur:2 q:16.46 aq:10.64 tex:8276 mv:1039 misc:6381 imb:0 pmb:1299 smb:31101 d:- ref:0 ;
in:44 out:41 type:P dur:2 cpbdur:2 q:16.19 aq:6.69 tex:4656175 mv:69769 misc:9280 imb:5473 pmb:4060 smb:22867 d:s ref:0 ;
in:42 out:42 type:B dur:2 cpbdur:2 q:16.29 aq:10.13 tex:10898 mv:1338 misc:7068 imb:1 pmb:1412 smb:30987 d:s ref:0 ;
in:41 out:43 type:b dur:2 cpbdur:2 q:16.29 aq:10.12 tex:3391 mv:197 misc:3604 imb:0 pmb:405 smb:31995 d:s ref:0 ;
in:43 out:44 type:b dur:2 cpbdur:2 q:16.29 aq:9.79 tex:4775 mv:896 misc:4801 imb:0 pmb:913 smb:31487 d:- ref:0 ;
in:48 out:45 type:P dur:2 cpbdur:2 q:15.91 aq:7.26 tex:4324125 mv:70092 misc:7783 imb:5318 pmb:3745 smb:23337 d:s ref:0 ;
in:46 out:46 type:B dur:2 cpbdur:2 q:16.19 aq:8.70 tex:9375 mv:1161 misc:5744 imb:4 pmb:1125 smb:31271 d:s ref:0 ;
in:45 out:47 type:b dur:2 cpbdur:2 q:16.19 aq:9.17 tex:2934 mv:216 misc:3346 imb:0 pmb:358 smb:32042 d:s ref:0 ;
in:47 out:48 type:b dur:2 cpbdur:2 q:16.19 aq:9.61 tex:8106 mv:979 misc:6363 imb:0 pmb:1268 smb:31132 d:- ref:0 ;
in:52 out:49 type:P dur:2 cpbdur:2 q:15.50 aq:7.70 tex:3783182 mv:67282 misc:8224 imb:5448 pmb:3775 smb:23177 d:s ref:0 ;
in:50 out:50 type:B dur:2 cpbdur:2 q:15.91 aq:9.53 tex:160228 mv:1700 misc:10536 imb:5 pmb:3271 smb:29124 d:s ref:0 ;
in:49 out:51 type:b dur:2 cpbdur:2 q:15.91 aq:10.19 tex:9343 mv:982 misc:6595 imb:0 pmb:1313 smb:31087 d:s ref:0 ;
in:51 out:52 type:b dur:2 cpbdur:2 q:15.90 aq:9.16 tex:9647 mv:1729 misc:7248 imb:0 pmb:1445 smb:30955 d:- ref:0 ;
in:56 out:53 type:P dur:2 cpbdur:2 q:15.02 aq:7.55 tex:4038993 mv:65707 misc:9692 imb:5811 pmb:4132 smb:22457 d:s ref:0 ;
in:54 out:54 type:B dur:2 cpbdur:2 q:15.50 aq:9.69 tex:496573 mv:2090 misc:11545 imb:4 pmb:5764 smb:26632 d:s ref:0 ;
in:53 out:55 type:b dur:2 cpbdur:2 q:15.50 aq:10.91 tex:7107 mv:833 misc:6244 imb:1 pmb:1268 smb:31131 d:s ref:0 ;
in:55 out:56 type:b dur:2 cpbdur:2 q:15.50 aq:10.28 tex:7867 mv:1600 misc:8109 imb:0 pmb:1782 smb:30618 d:- ref:0 ;
in:60 out:57 type:P dur:2 cpbdur:2 q:15.43 aq:6.39 tex:7314046 mv:85990 misc:7492 imb:7659 pmb:4328 smb:20413 d:s ref:0 ;
in:58 out:58 type:B dur:2 cpbdur:2 q:15.47 aq:8.46 tex:4397519 mv:145278 misc:4067 imb:3632 pmb:4751 smb:24017 d:s ref:0 ;
in:57 out:59 type:b dur:2 cpbdur:2 q:15.47 aq:11.06 tex:7472 mv:961 misc:5943 imb:0 pmb:1240 smb:31160 d:s ref:0 ;
in:59 out:60 type:b dur:2 cpbdur:2 q:15.47 aq:10.04 tex:7510 mv:967 misc:5699 imb:0 pmb:1216 smb:31184 d:- ref:0 ;
in:64 out:61 type:P dur:2 cpbdur:2 q:15.21 aq:6.28 tex:4973612 mv:74540 misc:10192 imb:5246 pmb:4834 smb:22320 d:s ref:0 ;
