#options: 1920x1080 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=21 lookahead_threads=7 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=3 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=50 rc=cbr mbtree=1 bitrate=5800 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 vbv_maxrate=5800 vbv_bufsize=11600 nal_hrd=none filler=0 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:15.77 aq:1.46 tex:578110 mv:28605 misc:173 imb:8160 pmb:0 smb:0 d:- ref:;
in:4 out:1 type:P dur:2 cpbdur:2 q:18.72 aq:4.83 tex:12159 mv:223 misc:1306 imb:8 pmb:219 smb:7933 d:- ref:0 ;
in:2 out:2 type:B dur:2 cpbdur:2 q:18.72 aq:5.63 tex:439 mv:124 misc:669 imb:0 pmb:46 smb:8114 d:- ref:0 ;
in:1 out:3 type:b dur:2 cpbdur:2 q:18.72 aq:18.81 tex:369 mv:128 misc:639 imb:1 pmb:40 smb:8119 d:s ref:0 ;
in:3 out:4 type:b dur:2 cpbdur:2 q:18.72 aq:18.80 tex:284 mv:40 misc:460 imb:1 pmb:6 smb:8153 d:- ref:0 ;
in:8 out:5 type:P dur:2 cpbdur:2 q:17.98 aq:3.75 tex:3538 mv:184 misc:934 imb:7 pmb:83 smb:8070 d:- ref:0 ;
in:6 out:6 type:B dur:2 cpbdur:2 q:18.71 aq:6.86 tex:294 mv:55 misc:515 imb:0 pmb:14 smb:8146 d:t ref:0 ;
in:5 out:7 type:b dur:2 cpbdur:2 q:18.72 aq:18.80 tex:306 mv:31 misc:487 imb:0 pmb:9 smb:8151 d:s ref:0 ;
in:7 out:8 type:b dur:2 cpbdur:2 q:18.71 aq:15.85 tex:147 mv:18 misc:443 imb:0 pmb:5 smb:8155 d:- ref:0 ;
in:12 out:9 type:P dur:2 cpbdur:2 q:17.33 aq:3.34 tex:3040 mv:155 misc:885 imb:6 pmb:76 smb:8078 d:- ref:0 ;
in:10 out:10 type:B dur:2 cpbdur:2 q:17.98 aq:4.20 tex:262 mv:18 misc:488 imb:0 pmb:8 smb:8152 d:- ref:0 ;
