model_name,train_split,eval_cell,method,device,setup_ms,setup_ms_std,inference_ms,inference_ms_std,solve_ms,solve_ms_std,iters,iters_std,total_ms,total_ms_std,n_frames
g4096_id_d128_L3_hw,g4096_train_id,g4096_eval_id,cg,gpu,0.0000,0.0000,,,45.6420,19.0646,1179.7500,494.5150,45.6420,19.0646,20
g4096_id_d128_L3_hw,g4096_train_id,g4096_eval_id,cg,cpu,0.0000,0.0000,,,436.6405,157.9397,501.6000,184.4381,436.6405,157.9397,20
g4096_id_d128_L3_hw,g4096_train_id,g4096_eval_id,jacobi,gpu,0.0000,0.0000,,,29.3945,7.7895,757.5000,200.3438,29.3945,7.7895,20
g4096_id_d128_L3_hw,g4096_train_id,g4096_eval_id,jacobi,cpu,0.0000,0.0000,,,310.5830,71.4011,355.0000,83.8482,310.5830,71.4011,20
g4096_id_d128_L3_hw,g4096_train_id,g4096_eval_id,ic_amgx,gpu,8.0335,5.6408,,,292.8540,78.8978,23.8500,6.3683,300.8875,78.2653,20
g4096_id_d128_L3_hw,g4096_train_id,g4096_eval_id,ic,cpu,4.0815,1.4494,,,102.1450,24.2488,107.5500,26.0636,106.2285,24.0223,20
g4096_id_d128_L3_hw,g4096_train_id,g4096_eval_id,leafonly,gpu,,,2.3945,0.0802,6.3605,2.1781,81.7500,28.4418,8.7565,2.1775,20
g4096_id_d128_L3_hw,g4096_train_id,g4096_eval_id,amg_cpu,cpu,12.1600,2.7483,,,7.6260,11.6803,3.3000,5.8947,19.7855,11.6588,20
g4096_id_d128_L3_hw,g4096_train_id,g4096_eval_id,amgx_gpu,gpu,16.4310,6.2750,,,107.3130,33.5880,1.6000,0.5026,123.7440,32.5294,20
g4096_topo_no_closed_d128_L3_hw,g4096_train_topo_no_closed,g4096_eval_id,cg,gpu,0.0000,0.0000,,,44.0585,18.5082,1179.7500,494.5150,44.0585,18.5082,20
g4096_topo_no_closed_d128_L3_hw,g4096_train_topo_no_closed,g4096_eval_id,cg,cpu,0.0000,0.0000,,,420.6760,150.6047,501.6000,184.4381,420.6760,150.6047,20
g4096_topo_no_closed_d128_L3_hw,g4096_train_topo_no_closed,g4096_eval_id,jacobi,gpu,0.0000,0.0000,,,28.5115,7.6255,757.5000,200.3438,28.5115,7.6255,20
g4096_topo_no_closed_d128_L3_hw,g4096_train_topo_no_closed,g4096_eval_id,jacobi,cpu,0.0000,0.0000,,,296.1350,67.5584,355.0000,83.8482,296.1350,67.5584,20
g4096_topo_no_closed_d128_L3_hw,g4096_train_topo_no_closed,g4096_eval_id,ic_amgx,gpu,8.0960,9.5693,,,292.9780,78.1167,23.8500,6.3683,301.0745,77.3319,20
g4096_topo_no_closed_d128_L3_hw,g4096_train_topo_no_closed,g4096_eval_id,ic,cpu,4.5350,1.7264,,,96.6470,22.7700,107.5500,26.0636,101.1810,22.7298,20
g4096_topo_no_closed_d128_L3_hw,g4096_train_topo_no_closed,g4096_eval_id,leafonly,gpu,,,2.1905,0.0474,5.9830,1.4682,77.5500,19.1297,8.1735,1.4699,20
g4096_topo_no_closed_d128_L3_hw,g4096_train_topo_no_closed,g4096_eval_id,amg_cpu,cpu,10.4935,3.5478,,,7.0255,10.7632,3.3000,5.8947,17.5175,10.9082,20
g4096_topo_no_closed_d128_L3_hw,g4096_train_topo_no_closed,g4096_eval_id,amgx_gpu,gpu,14.4105,5.6611,,,107.2490,33.5081,1.6000,0.5026,121.6595,32.5632,20
g4096_topo_no_closed_d128_L3_hw,g4096_train_topo_no_closed,g4096_eval_closed_only,cg,gpu,0.0000,0.0000,,,56.1690,100.5278,1508.2500,2699.8907,56.1690,100.5278,20
g4096_topo_no_closed_d128_L3_hw,g4096_train_topo_no_closed,g4096_eval_closed_only,cg,cpu,0.0000,0.0000,,,531.4445,226.4508,607.5000,261.0056,531.4445,226.4508,20
g4096_topo_no_closed_d128_L3_hw,g4096_train_topo_no_closed,g4096_eval_closed_only,jacobi,gpu,0.0000,0.0000,,,24.7310,8.0699,661.9500,217.3495,24.7310,8.0699,20
g4096_topo_no_closed_d128_L3_hw,g4096_train_topo_no_closed,g4096_eval_closed_only,jacobi,cpu,0.0000,0.0000,,,363.4220,88.3168,413.8500,100.0012,363.4220,88.3168,20
g4096_topo_no_closed_d128_L3_hw,g4096_train_topo_no_closed,g4096_eval_closed_only,ic_amgx,gpu,6.2070,0.1459,,,247.7645,10.4886,20.1500,0.8127,253.9720,10.4472,20
g4096_topo_no_closed_d128_L3_hw,g4096_train_topo_no_closed,g4096_eval_closed_only,ic,cpu,4.2095,0.3053,,,120.9125,29.9286,125.9500,30.9303,125.1220,30.0430,20
g4096_topo_no_closed_d128_L3_hw,g4096_train_topo_no_closed,g4096_eval_closed_only,leafonly,gpu,,,2.1790,0.0159,5.2315,1.2504,68.1000,16.3479,7.4115,1.2482,20
g4096_topo_no_closed_d128_L3_hw,g4096_train_topo_no_closed,g4096_eval_closed_only,amg_cpu,cpu,10.1110,0.6797,,,16.8085,13.4944,8.3000,7.1089,26.9210,13.8117,20
g4096_topo_no_closed_d128_L3_hw,g4096_train_topo_no_closed,g4096_eval_closed_only,amgx_gpu,gpu,13.7370,0.2721,,,100.1115,34.3419,1.5000,0.5130,113.8475,34.2979,20
g4096_param_low_d128_L3_hw,g4096_train_param_low,g4096_eval_id,cg,gpu,0.0000,0.0000,,,43.4665,18.2014,1179.7500,494.5150,43.4665,18.2014,20
g4096_param_low_d128_L3_hw,g4096_train_param_low,g4096_eval_id,cg,cpu,0.0000,0.0000,,,529.2340,190.1325,501.6000,184.4381,529.2340,190.1325,20
g4096_param_low_d128_L3_hw,g4096_train_param_low,g4096_eval_id,jacobi,gpu,0.0000,0.0000,,,28.3235,7.3822,757.5000,200.3438,28.3235,7.3822,20
g4096_param_low_d128_L3_hw,g4096_train_param_low,g4096_eval_id,jacobi,cpu,0.0000,0.0000,,,370.7010,85.2092,355.0000,83.8482,370.7010,85.2092,20
g4096_param_low_d128_L3_hw,g4096_train_param_low,g4096_eval_id,ic_amgx,gpu,7.7665,9.9714,,,292.2885,78.4710,23.8500,6.3683,300.0550,77.6021,20
g4096_param_low_d128_L3_hw,g4096_train_param_low,g4096_eval_id,ic,cpu,4.5425,2.2543,,,119.1130,28.1208,107.5500,26.0636,123.6560,27.8915,20
g4096_param_low_d128_L3_hw,g4096_train_param_low,g4096_eval_id,leafonly,gpu,,,2.1830,0.0047,6.0590,2.0584,78.0000,26.2077,8.2425,2.0581,20
g4096_param_low_d128_L3_hw,g4096_train_param_low,g4096_eval_id,amg_cpu,cpu,9.4955,2.8473,,,8.1905,12.0685,3.3000,5.8947,17.6825,11.9959,20
g4096_param_low_d128_L3_hw,g4096_train_param_low,g4096_eval_id,amgx_gpu,gpu,14.0435,6.8454,,,106.8395,33.3427,1.6000,0.5026,120.8850,32.1406,20
g4096_param_low_d128_L3_hw,g4096_train_param_low,g4096_eval_param_high,cg,gpu,0.0000,0.0000,,,65.2585,30.9881,1758.0000,803.6441,65.2585,30.9881,20
g4096_param_low_d128_L3_hw,g4096_train_param_low,g4096_eval_param_high,cg,cpu,0.0000,0.0000,,,1173.8750,583.6321,1143.8000,558.0195,1173.8750,583.6321,20
g4096_param_low_d128_L3_hw,g4096_train_param_low,g4096_eval_param_high,jacobi,gpu,0.0000,0.0000,,,24.4105,7.0990,650.4000,187.6571,24.4105,7.0990,20
g4096_param_low_d128_L3_hw,g4096_train_param_low,g4096_eval_param_high,jacobi,cpu,0.0000,0.0000,,,466.4200,113.5324,453.9000,102.3641,466.4200,113.5324,20
g4096_param_low_d128_L3_hw,g4096_train_param_low,g4096_eval_param_high,ic_amgx,gpu,5.5600,0.0768,,,262.2035,15.6395,21.3500,1.3485,267.7640,15.6490,20
g4096_param_low_d128_L3_hw,g4096_train_param_low,g4096_eval_param_high,ic,cpu,3.8820,0.3474,,,151.9810,37.3321,139.9500,32.5422,155.8620,37.3596,20
g4096_param_low_d128_L3_hw,g4096_train_param_low,g4096_eval_param_high,leafonly,gpu,,,2.1870,0.0047,10.9575,9.6664,141.7500,125.6570,13.1435,9.6651,20
g4096_param_low_d128_L3_hw,g4096_train_param_low,g4096_eval_param_high,amg_cpu,cpu,8.7595,0.2979,,,21.9285,15.8605,10.3000,7.9743,30.6880,15.9175,20
g4096_param_low_d128_L3_hw,g4096_train_param_low,g4096_eval_param_high,amgx_gpu,gpu,12.5430,0.1614,,,108.9320,32.1322,1.6500,0.4894,121.4735,32.1156,20
g4096_combo_no_closed_low_d128_L3_hw,g4096_train_combo_no_closed_low,g4096_eval_id,cg,gpu,0.0000,0.0000,,,44.0275,18.4447,1179.7500,494.5150,44.0275,18.4447,20
g4096_combo_no_closed_low_d128_L3_hw,g4096_train_combo_no_closed_low,g4096_eval_id,cg,cpu,0.0000,0.0000,,,419.2420,156.7635,501.6000,184.4381,419.2420,156.7635,20
g4096_combo_no_closed_low_d128_L3_hw,g4096_train_combo_no_closed_low,g4096_eval_id,jacobi,gpu,0.0000,0.0000,,,28.2715,7.4226,757.5000,200.3438,28.2715,7.4226,20
g4096_combo_no_closed_low_d128_L3_hw,g4096_train_combo_no_closed_low,g4096_eval_id,jacobi,cpu,0.0000,0.0000,,,297.1765,72.0689,355.0000,83.8482,297.1765,72.0689,20
g4096_combo_no_closed_low_d128_L3_hw,g4096_train_combo_no_closed_low,g4096_eval_id,ic_amgx,gpu,6.1295,0.1990,,,292.6895,78.5986,23.8500,6.3683,298.8200,78.5603,20
g4096_combo_no_closed_low_d128_L3_hw,g4096_train_combo_no_closed_low,g4096_eval_id,ic,cpu,4.0940,0.2554,,,97.2575,23.7310,107.5500,26.0636,101.3520,23.6680,20
g4096_combo_no_closed_low_d128_L3_hw,g4096_train_combo_no_closed_low,g4096_eval_id,leafonly,gpu,,,2.2035,0.0461,7.2825,2.2374,94.8000,29.3035,9.4860,2.2418,20
g4096_combo_no_closed_low_d128_L3_hw,g4096_train_combo_no_closed_low,g4096_eval_id,amg_cpu,cpu,10.1895,0.9756,,,7.1555,10.9023,3.3000,5.8947,17.3445,10.8017,20
g4096_combo_no_closed_low_d128_L3_hw,g4096_train_combo_no_closed_low,g4096_eval_id,amgx_gpu,gpu,13.6475,0.2351,,,107.0790,33.5271,1.6000,0.5026,120.7265,33.4140,20
g4096_combo_no_closed_low_d128_L3_hw,g4096_train_combo_no_closed_low,g4096_eval_closed_only,cg,gpu,0.0000,0.0000,,,56.3855,100.5016,1508.2500,2699.8907,56.3855,100.5016,20
g4096_combo_no_closed_low_d128_L3_hw,g4096_train_combo_no_closed_low,g4096_eval_closed_only,cg,cpu,0.0000,0.0000,,,508.9175,214.6615,607.5000,261.0056,508.9175,214.6615,20
g4096_combo_no_closed_low_d128_L3_hw,g4096_train_combo_no_closed_low,g4096_eval_closed_only,jacobi,gpu,0.0000,0.0000,,,24.7370,8.1184,661.9500,217.3495,24.7370,8.1184,20
g4096_combo_no_closed_low_d128_L3_hw,g4096_train_combo_no_closed_low,g4096_eval_closed_only,jacobi,cpu,0.0000,0.0000,,,346.7975,82.4647,413.8500,100.0012,346.7975,82.4647,20
g4096_combo_no_closed_low_d128_L3_hw,g4096_train_combo_no_closed_low,g4096_eval_closed_only,ic_amgx,gpu,6.1430,0.1857,,,247.7110,9.8354,20.1500,0.8127,253.8530,9.8714,20
g4096_combo_no_closed_low_d128_L3_hw,g4096_train_combo_no_closed_low,g4096_eval_closed_only,ic,cpu,3.7635,0.2876,,,114.1195,27.3337,125.9500,30.9303,117.8820,27.3621,20
g4096_combo_no_closed_low_d128_L3_hw,g4096_train_combo_no_closed_low,g4096_eval_closed_only,leafonly,gpu,,,2.2125,0.0514,6.8345,1.4857,89.1000,19.6868,9.0475,1.4759,20
g4096_combo_no_closed_low_d128_L3_hw,g4096_train_combo_no_closed_low,g4096_eval_closed_only,amg_cpu,cpu,10.0940,0.7137,,,16.7895,13.4729,8.3000,7.1089,26.8835,13.4017,20
g4096_combo_no_closed_low_d128_L3_hw,g4096_train_combo_no_closed_low,g4096_eval_closed_only,amgx_gpu,gpu,13.9545,0.7599,,,99.9860,34.5482,1.5000,0.5130,113.9400,34.4672,20
