model_name,train_split,eval_cell,method,device,setup_ms,setup_ms_std,inference_ms,inference_ms_std,solve_ms,solve_ms_std,iters,iters_std,total_ms,total_ms_std,n_frames
g4096_param_low_d128_L3_hw_sai,g4096_train_param_low,g4096_eval_id,cg,gpu,0.0000,0.0000,,,45.9165,19.1919,1179.7500,494.5150,45.9165,19.1919,20
g4096_param_low_d128_L3_hw_sai,g4096_train_param_low,g4096_eval_id,cg,cpu,0.0000,0.0000,,,461.6555,170.3916,501.6000,184.4381,461.6555,170.3916,20
g4096_param_low_d128_L3_hw_sai,g4096_train_param_low,g4096_eval_id,jacobi,gpu,0.0000,0.0000,,,29.7885,7.7719,757.5000,200.3438,29.7885,7.7719,20
g4096_param_low_d128_L3_hw_sai,g4096_train_param_low,g4096_eval_id,jacobi,cpu,0.0000,0.0000,,,328.1685,78.6878,355.0000,83.8482,328.1685,78.6878,20
g4096_param_low_d128_L3_hw_sai,g4096_train_param_low,g4096_eval_id,ic_amgx,gpu,6.8920,0.2125,,,294.5200,79.0682,23.8500,6.3683,301.4100,79.0407,20
g4096_param_low_d128_L3_hw_sai,g4096_train_param_low,g4096_eval_id,ic,cpu,3.9430,0.3337,,,108.9495,26.3399,107.5500,26.0636,112.8930,26.2457,20
g4096_param_low_d128_L3_hw_sai,g4096_train_param_low,g4096_eval_id,leafonly,gpu,,,2.5025,0.0775,11.1145,2.9211,142.0500,37.1306,13.6155,2.9429,20
g4096_param_low_d128_L3_hw_sai,g4096_train_param_low,g4096_eval_id,amg_cpu,cpu,12.1880,0.8291,,,7.7825,11.9429,3.3000,5.8947,19.9695,12.1504,20
g4096_param_low_d128_L3_hw_sai,g4096_train_param_low,g4096_eval_id,amgx_gpu,gpu,15.4965,0.5027,,,108.1915,33.7545,1.6000,0.5026,123.6895,33.6460,20
g4096_param_low_d128_L3_hw_sai,g4096_train_param_low,g4096_eval_param_high,cg,gpu,0.0000,0.0000,,,68.8740,31.5619,1758.0000,803.6441,68.8740,31.5619,20
g4096_param_low_d128_L3_hw_sai,g4096_train_param_low,g4096_eval_param_high,cg,cpu,0.0000,0.0000,,,1047.2610,503.6289,1143.8000,558.0195,1047.2610,503.6289,20
g4096_param_low_d128_L3_hw_sai,g4096_train_param_low,g4096_eval_param_high,jacobi,gpu,0.0000,0.0000,,,25.5920,7.4239,650.4000,187.6571,25.5920,7.4239,20
g4096_param_low_d128_L3_hw_sai,g4096_train_param_low,g4096_eval_param_high,jacobi,cpu,0.0000,0.0000,,,419.1830,91.9187,453.9000,102.3641,419.1830,91.9187,20
g4096_param_low_d128_L3_hw_sai,g4096_train_param_low,g4096_eval_param_high,ic_amgx,gpu,6.9215,0.2170,,,264.1310,18.1643,21.3500,1.3485,271.0510,18.1556,20
g4096_param_low_d128_L3_hw_sai,g4096_train_param_low,g4096_eval_param_high,ic,cpu,3.9955,0.4623,,,141.1190,31.5314,139.9500,32.5422,145.1145,31.6270,20
g4096_param_low_d128_L3_hw_sai,g4096_train_param_low,g4096_eval_param_high,leafonly,gpu,,,2.5135,0.0716,13.7265,3.4090,175.2000,43.5329,16.2410,3.3918,20
g4096_param_low_d128_L3_hw_sai,g4096_train_param_low,g4096_eval_param_high,amg_cpu,cpu,12.5210,1.0549,,,22.0745,16.2344,10.3000,7.9743,34.5950,16.3789,20
g4096_param_low_d128_L3_hw_sai,g4096_train_param_low,g4096_eval_param_high,amgx_gpu,gpu,15.5560,0.4804,,,110.2155,32.5283,1.6500,0.4894,125.7735,32.4291,20
