Key,Solve Time (ms),Precond Time (ms),#Iteration,Matrix Size
PCG-none-cpu,21.2288,0.0031,691.0,4096
PCG-none-cpu,21.1176,0.0026,650.0,4096
PCG-none-cpu,14.9278,0.0022,486.0,4096
PCG-none-cpu,41.6334,0.002,1347.0,4096
PCG-none-cpu,22.0866,0.0025,734.0,4096
PCG-none-cpu,19.753,0.0025,644.0,4096
PCG-none-cpu,18.7085,0.0027,623.0,4096
PCG-none-cpu,31.3647,0.0024,1047.0,4096
PCG-none-cpu,38.0436,0.0025,1298.0,4096
PCG-none-cpu,28.4152,0.0034,772.0,4096
PCG-none-cpu,18.8466,0.0024,618.0,4096
PCG-none-cpu,25.2919,0.0025,827.0,4096
PCG-none-cpu,25.4276,0.0025,858.0,4096
PCG-none-cpu,20.2244,0.0022,613.0,4096
PCG-none-cpu,18.4229,0.0024,617.0,4096
PCG-none-cpu,37.0707,0.0023,1237.0,4096
PCG-none-cpu,15.4996,0.0021,490.0,4096
PCG-none-cpu,41.76,0.0023,1459.0,4096
PCG-none-cpu,42.2933,0.0026,1311.0,4096
PCG-none-cpu,43.4028,0.0022,1537.0,4096
PCG-none-cuda,92.4144,7.4896,691.0,4096
PCG-none-cuda,70.6832,0.1257,651.0,4096
PCG-none-cuda,52.5033,0.1349,486.0,4096
PCG-none-cuda,149.9514,0.1347,1335.0,4096
PCG-none-cuda,78.4482,0.1293,734.0,4096
PCG-none-cuda,69.2566,0.1135,644.0,4096
PCG-none-cuda,67.0479,0.1318,623.0,4096
PCG-none-cuda,111.9756,0.1315,1048.0,4096
PCG-none-cuda,145.2083,0.1422,1297.0,4096
PCG-none-cuda,82.6343,0.1312,772.0,4096
PCG-none-cuda,113.7089,0.12,1020.0,4096
PCG-none-cuda,142.9239,0.1362,1272.0,4096
PCG-none-cuda,60.28,0.1129,553.0,4096
PCG-none-cuda,66.414,0.1344,613.0,4096
PCG-none-cuda,66.7911,0.1048,617.0,4096
PCG-none-cuda,142.4065,0.1357,1284.0,4096
PCG-none-cuda,52.2239,0.1277,490.0,4096
PCG-none-cuda,87.1031,0.135,808.0,4096
PCG-none-cuda,140.392,0.1744,1290.0,4096
PCG-none-cuda,167.9072,0.144,1536.0,4096
PCG-diagonal-cpu,16.7419,0.0465,497.0,4096
PCG-diagonal-cpu,14.1169,0.0264,455.0,4096
PCG-diagonal-cpu,14.5195,0.0276,464.0,4096
PCG-diagonal-cpu,16.1456,0.0275,499.0,4096
PCG-diagonal-cpu,16.031,0.0281,498.0,4096
PCG-diagonal-cpu,15.9394,0.0279,472.0,4096
PCG-diagonal-cpu,15.4126,0.0269,465.0,4096
PCG-diagonal-cpu,15.5015,0.0262,506.0,4096
PCG-diagonal-cpu,16.4206,0.0289,447.0,4096
PCG-diagonal-cpu,14.6786,0.0274,445.0,4096
PCG-diagonal-cpu,15.481,0.0263,470.0,4096
PCG-diagonal-cpu,16.7026,0.027,529.0,4096
PCG-diagonal-cpu,25.3051,0.0267,814.0,4096
PCG-diagonal-cpu,15.6362,0.0273,477.0,4096
PCG-diagonal-cpu,14.9589,0.0264,464.0,4096
PCG-diagonal-cpu,17.6351,0.0285,537.0,4096
PCG-diagonal-cpu,13.9162,0.0275,447.0,4096
PCG-diagonal-cpu,36.8045,0.0296,1130.0,4096
PCG-diagonal-cpu,18.2416,0.0379,608.0,4096
PCG-diagonal-cpu,13.9235,0.0258,472.0,4096
PCG-diagonal-cuda,54.3471,1.353,497.0,4096
PCG-diagonal-cuda,48.7296,0.1191,455.0,4096
PCG-diagonal-cuda,50.1462,0.1228,465.0,4096
PCG-diagonal-cuda,54.1097,0.1308,499.0,4096
PCG-diagonal-cuda,56.0837,0.1194,512.0,4096
PCG-diagonal-cuda,51.7429,0.129,472.0,4096
PCG-diagonal-cuda,50.0146,0.1013,465.0,4096
PCG-diagonal-cuda,54.3338,0.1266,506.0,4096
PCG-diagonal-cuda,49.2894,0.1373,447.0,4096
PCG-diagonal-cuda,48.1166,0.125,445.0,4096
PCG-diagonal-cuda,49.0444,0.1153,451.0,4096
PCG-diagonal-cuda,58.4786,0.1337,530.0,4096
PCG-diagonal-cuda,51.2431,0.1048,473.0,4096
PCG-diagonal-cuda,52.0885,0.1295,477.0,4096
PCG-diagonal-cuda,49.8405,0.1033,464.0,4096
PCG-diagonal-cuda,52.6302,0.1254,480.0,4096
PCG-diagonal-cuda,47.9999,0.1098,447.0,4096
PCG-diagonal-cuda,117.875,0.1189,1062.0,4096
PCG-diagonal-cuda,65.2375,0.1305,592.0,4096
PCG-diagonal-cuda,53.049,0.1078,488.0,4096
PCG-ainv-cpu,21.6819,4.9767,258.0,4096
PCG-ainv-cpu,20.244,4.0038,236.0,4096
PCG-ainv-cpu,18.2424,3.6536,233.0,4096
PCG-ainv-cpu,24.3255,4.0755,288.0,4096
PCG-ainv-cpu,21.2426,3.871,257.0,4096
PCG-ainv-cpu,20.4487,4.1732,257.0,4096
PCG-ainv-cpu,20.9345,4.7352,251.0,4096
PCG-ainv-cpu,25.5424,4.4789,296.0,4096
PCG-ainv-cpu,20.1071,3.7943,249.0,4096
PCG-ainv-cpu,20.8269,4.1367,260.0,4096
PCG-ainv-cpu,20.2683,4.1421,246.0,4096
PCG-ainv-cpu,24.4517,4.5886,294.0,4096
PCG-ainv-cpu,34.1699,3.6223,410.0,4096
PCG-ainv-cpu,20.8411,4.6833,246.0,4096
PCG-ainv-cpu,19.9425,3.9076,250.0,4096
PCG-ainv-cpu,20.296,4.2961,255.0,4096
PCG-ainv-cpu,17.9201,3.6338,229.0,4096
PCG-ainv-cpu,21.3243,4.4253,288.0,4096
PCG-ainv-cpu,22.1704,4.8557,268.0,4096
PCG-ainv-cpu,42.9483,3.9885,512.0,4096
PCG-ainv-cuda,32.8603,4.3294,258.0,4096
PCG-ainv-cuda,29.4772,3.9935,236.0,4096
PCG-ainv-cuda,29.0162,3.5766,233.0,4096
PCG-ainv-cuda,34.5861,4.1211,274.0,4096
PCG-ainv-cuda,32.2202,3.9023,257.0,4096
PCG-ainv-cuda,32.491,3.8596,257.0,4096
PCG-ainv-cuda,31.8663,4.1061,251.0,4096
PCG-ainv-cuda,38.3316,4.3912,296.0,4096
PCG-ainv-cuda,31.6341,3.8184,249.0,4096
PCG-ainv-cuda,32.8339,3.8042,260.0,4096
PCG-ainv-cuda,31.7693,3.7051,247.0,4096
PCG-ainv-cuda,36.0028,4.3167,280.0,4096
PCG-ainv-cuda,54.5741,3.7941,410.0,4096
PCG-ainv-cuda,31.0137,4.086,246.0,4096
PCG-ainv-cuda,31.4607,3.8188,250.0,4096
PCG-ainv-cuda,31.9794,3.9803,255.0,4096
PCG-ainv-cuda,28.5627,3.7829,229.0,4096
PCG-ainv-cuda,36.0675,4.0754,288.0,4096
