Key,Total Time (ms),Solve Time (ms),Precond Time (ms),#Iteration
PCG-none-cpu,275.2348,275.2328,0.002,1662.8
PCG-none-cuda,177.0112,176.7049,0.3064,1645.75
PCG-diagonal-cpu,186.97,186.8757,0.0943,1104.65
PCG-diagonal-cuda,129.2723,129.074,0.1984,1185.45
PCG-ainv-cpu,229.7795,216.0731,13.7064,659.7
PCG-ainv-cuda,92.3038,78.4661,13.8377,634.15
PCG-ic-cpu,192.9473,189.5096,3.4377,339.9
PCG-ic-cuda,255.9255,251.0181,4.9074,305.55
Neural,202.3877,197.4803,4.9074,496.45
Neural+CUDA,70.9101,66.0027,4.9074,496.45
